,0
"Per capita alcohol consumption among people aged 14 years and older, Overall, Per capita alcohol consumption gallons",-0.0015466933323121251
"Binge drinking prevalence among adults, Male, Crude Prevalence",-0.0015331114155399687
"Average mentally unhealthy days among adults, Female, Crude Mean",-0.00152803683526569
"Diabetes mortality among all people, underlying or contributing cause, Hispanic, Age-adjusted Rate",-0.0015179753551086495
"Influenza vaccination among adults 18–64 who are at increased risk, Female, Crude Prevalence",-0.001509369789532549
"Postpartum checkup among women with a recent live birth, Overall, Crude Prevalence",-0.0015058657602047508
"Current electronic vapor product use among high school students, Black, non-Hispanic, Crude Prevalence",-0.0015017024088389418
"Binge drinking intensity among adults who binge drink, Hawaiian or Pacific Islander, non-Hispanic, Crude 75th percentile",-0.001497423290513343
"Binge drinking prevalence among adults, White, non-Hispanic, Crude Prevalence",-0.0014826392861576148
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Overall, Age-adjusted Prevalence",-0.0014727604452055049
"Binge drinking prevalence among adults, Age >=65, Crude Prevalence",-0.0014401288807414968
"Influenza vaccination among adults 18–64 who are at increased risk, Age 45-64, Crude Prevalence",-0.0014366994949283594
"Average mentally unhealthy days among adults, Female, Age-adjusted Mean",-0.00141914054153812
"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars, Overall, Proportion",-0.0014182336032151222
"Chronic liver disease mortality among all people, underlying cause, Age 0-44, Crude Rate",-0.001410643776954972
"Influenza vaccination among adults 18–64 who are at increased risk, Overall, Crude Prevalence",-0.0014040606847484562
"Influenza vaccination among adults, Multiracial, non-Hispanic, Crude Prevalence",-0.00139319504643639
"High school completion among adults aged 18-24, Hispanic, Crude Prevalence",-0.0013882418083793076
"Influenza vaccination among adults, Multiracial, non-Hispanic, Age-adjusted Prevalence",-0.0013857390918802258
"Binge drinking prevalence among adults, White, non-Hispanic, Age-adjusted Prevalence",-0.0013839355007008343
"Diseases of the heart mortality among all people, underlying cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0013824946242295404
"Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline, Asian, non-Hispanic, Age-adjusted Prevalence",-0.0013721299346837895
"Binge drinking prevalence among adults, Age 45-64, Crude Prevalence",-0.0013680151462439165
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Black, non-Hispanic, Crude Prevalence",-0.0013556712989041197
"Binge drinking prevalence among adults, Male, Age-adjusted Prevalence",-0.0013535774458720159
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause, Hispanic, Age-adjusted Rate",-0.0013373837734037162
"Current electronic vapor product use among high school students, Hispanic, Crude Prevalence",-0.0013373114005281093
"Influenza vaccination among adults 18–64 who are at increased risk, Male, Age-adjusted Prevalence",-0.0013342725939575661
"Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline, American Indian or Alaska Native, non-Hispanic, Age-adjusted Prevalence",-0.0013240026578088331
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0013174047139313683
"Obesity among high school students, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0013094748849402722
"Binge drinking frequency among adults who binge drink, Hawaiian or Pacific Islander, non-Hispanic, Crude 75th percentile",-0.0013036077911560012
"Influenza vaccination among adults, American Indian or Alaska Native, non-Hispanic, Age-adjusted Prevalence",-0.001302807543037138
"Met aerobic physical activity guideline for substantial health benefits, adults, Multiracial, non-Hispanic, Age-adjusted Prevalence",-0.0012992927140570655
"Influenza vaccination among adults, Female, Age-adjusted Prevalence",-0.0012881600427175938
"Current smokeless tobacco use among high school students, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0012867307727630348
"Influenza vaccination among adults, Black, non-Hispanic, Age-adjusted Prevalence",-0.00128294897795608
"Binge drinking prevalence among high school students, Hispanic, Crude Prevalence",-0.0012798752176765209
"Influenza vaccination among adults 18–64 who are at increased risk, Male, Crude Prevalence",-0.0012750030575557126
"Current tobacco use of any tobacco product among high school students, Black, non-Hispanic, Crude Prevalence",-0.0012658873610470636
"Health insurance coverage in the month before pregnancy among women with a recent live birth, Overall, Crude Prevalence",-0.0012444509453966013
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Male, Age-adjusted Prevalence",-0.0012347782875624786
"High school completion among adults aged 18-24, Male, Crude Prevalence",-0.0012123265186178907
"Influenza vaccination among adults, Overall, Age-adjusted Prevalence",-0.0012115828664963093
"Alcohol use among high school students, Hispanic, Crude Prevalence",-0.0012058489670113742
"Influenza vaccination among adults 18–64 who are at increased risk, White, non-Hispanic, Age-adjusted Prevalence",-0.0012029479045879033
"Current poor mental health among high school students, Hispanic, Crude Prevalence",-0.0011814441731440254
"Asthma mortality among all people, underlying cause, Age >=65, Crude Rate",-0.0011727413272603331
"Met aerobic physical activity guideline for substantial health benefits, adults, Hispanic, Age-adjusted Prevalence",-0.0011621693825170807
"Influenza vaccination among adults 18–64 who are at increased risk, Hispanic, Crude Prevalence",-0.001155642620850752
"Pneumococcal vaccination among adults aged 65 years and older, Hispanic, Crude Prevalence",-0.0011437853927046674
"Cigarette smoking during pregnancy among women with a recent live birth, Hispanic, Crude Prevalence",-0.0011411791300712012
"High school completion among adults aged 18-24, Overall, Crude Prevalence",-0.0011362348768872222
"Unemployment rate among people 16 years and older in the labor force, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.001135992316878952
"Influenza vaccination among adults, Male, Age-adjusted Prevalence",-0.0011133413886123124
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Age 18-44, Crude Prevalence",-0.0011053563600680303
"Current smokeless tobacco use among high school students, Multiracial, non-Hispanic, Crude Prevalence",-0.0011032540152023736
"Asthma mortality among all people, underlying cause, White, non-Hispanic, Crude Rate",-0.0010938723138551305
"Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline, Asian, non-Hispanic, Crude Prevalence",-0.0010890999346518967
"Pneumococcal vaccination among adults aged 65 years and older, Hispanic, Age-adjusted Prevalence",-0.0010886825910578863
"Current tobacco use of any tobacco product among high school students, Hispanic, Crude Prevalence",-0.001077901418089067
"Current electronic vapor product use among high school students, Asian, non-Hispanic, Crude Prevalence",-0.0010765647982156755
"Met aerobic physical activity guideline for substantial health benefits, adults, Hispanic, Crude Prevalence",-0.0010725015271786265
"Living below 150% of the poverty threshold among all people, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.0010565048593883443
"Influenza vaccination among adults 18–64 who are at increased risk, Black, non-Hispanic, Crude Prevalence",-0.001052791036836126
"High school completion among adults aged 18-24, Multiracial, non-Hispanic, Crude Prevalence",-0.0010513432340823897
"Subjective cognitive decline among adults aged 45 years and older, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Prevalence",-0.0010477487120483162
"Average mentally unhealthy days among adults, Age 18-44, Crude Mean",-0.001047622397277635
"Binge drinking prevalence among high school students, Black, non-Hispanic, Crude Prevalence",-0.0010470991957419159
"Influenza vaccination among adults 18–64 who are at increased risk, Hispanic, Age-adjusted Prevalence",-0.0010457825320050599
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, Multiracial, non-Hispanic, Age-adjusted Rate",-0.0010448067475878765
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Male, Crude Prevalence",-0.0010386874513179903
"Alcohol use among high school students, Asian, non-Hispanic, Crude Prevalence",-0.0010305978882133744
"Influenza vaccination among adults 18–64 who are at increased risk, White, non-Hispanic, Crude Prevalence",-0.001030528855888645
"Current poor mental health among high school students, Black, non-Hispanic, Crude Prevalence",-0.001027906347180228
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause, Hispanic, Crude Rate",-0.001026393675610054
"Current electronic vapor product use among high school students, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0010244643651940969
"Current poor mental health among high school students, Grade 11, Crude Prevalence",-0.0010171367334526242
"Influenza vaccination among adults, Female, Crude Prevalence",-0.0010112421610301873
"Influenza vaccination among adults, Black, non-Hispanic, Crude Prevalence",-0.0010105569862062969
"Current smokeless tobacco use among high school students, Female, Crude Prevalence",-0.0010039448807838782
"Met aerobic physical activity guideline for substantial health benefits, adults, Multiracial, non-Hispanic, Crude Prevalence",-0.0009941374323618277
"Subjective cognitive decline among adults aged 45 years and older, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0009880895275376856
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Female, Crude Prevalence",-0.000986424301389029
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, White, non-Hispanic, Crude Prevalence",-0.0009791135963692673
"Pneumococcal vaccination among adults aged 65 years and older, Black, non-Hispanic, Crude Prevalence",-0.0009737709113168371
"Current poor mental health among high school students, Grade 10, Crude Prevalence",-0.0009539183913475417
"Cervical cancer screening among women aged 21-65 years, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0009538059579232988
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, Hawaiian or Pacific Islander, non-Hispanic, Crude Rate",-0.0009518017915850756
"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older, Asian or Pacific Islander, non-Hispanic, Age-adjusted Rate",-0.0009514938655622021
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause, Asian, non-Hispanic, Crude Rate",-0.0009474792086585617
"Provided care for someone with dementia or other cognitive impairment in the past month among adults, Asian, non-Hispanic, Crude Prevalence",-0.0009353427916142195
"Influenza vaccination among adults, Overall, Crude Prevalence",-0.0009318737798488168
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Overall, Crude Prevalence",-0.0009220555057012227
"Coronary heart disease mortality among all people, underlying cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0009202165361315128
"Cigarette smoking during pregnancy among women with a recent live birth, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.0009170311141946342
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Female, Crude Prevalence",-0.0009110861873149551
"High school completion among adults aged 18-24, Female, Crude Prevalence",-0.0009049042853109401
"Postpartum checkup among women with a recent live birth, Multiracial, non-Hispanic, Crude Prevalence",-0.0009029843839581173
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Age 1-5, Crude Prevalence",-0.0009024677243201184
"Current poor mental health among high school students, Asian, non-Hispanic, Crude Prevalence",-0.0008995847357886671
"Binge drinking intensity among adults who binge drink, Hawaiian or Pacific Islander, non-Hispanic, Crude Median",-0.0008955814326982593
"Current tobacco use of any tobacco product among high school students, Asian, non-Hispanic, Crude Prevalence",-0.0008953571737469467
"Current poor mental health among high school students, Female, Crude Prevalence",-0.0008932947226920634
"Cervical cancer screening among women aged 21-65 years, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Prevalence",-0.000891064498083039
"Asthma mortality among all people, underlying cause, White, non-Hispanic, Age-adjusted Rate",-0.0008872007968094765
"Influenza vaccination among adults, Hispanic, Crude Prevalence",-0.0008866519984388078
"Diabetes mortality among all people, underlying or contributing cause, Hispanic, Crude Rate",-0.0008811565811007324
"Average recent physically unhealthy days among adults, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Mean",-0.0008786668228016129
"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older, Asian or Pacific Islander, non-Hispanic, Age-adjusted Rate",-0.0008715485733472682
"Influenza vaccination among adults, Male, Crude Prevalence",-0.0008609835420207358
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, White, non-Hispanic, Age-adjusted Prevalence",-0.0008532565587393534
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, Multiracial, non-Hispanic, Crude Rate",-0.0008519855192925128
"Asthma mortality among all people, underlying cause, Asian, non-Hispanic, Crude Rate",-0.0008517062217290028
"Current tobacco use of any tobacco product among high school students, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0008513836454464146
"Current cigarette smoking among adults, Asian, non-Hispanic, Age-adjusted Prevalence",-0.0008496197325561181
"Pneumococcal vaccination among adults aged 65 years and older, Female, Age-adjusted Prevalence",-0.0008494875538104695
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Male, Crude Prevalence",-0.0008479169343046935
"Binge drinking prevalence among high school students, Grade 10, Crude Prevalence",-0.0008451215879163697
"Received health care provider counseling for physical activity among adults with arthritis, American Indian or Alaska Native, non-Hispanic, Age-adjusted Prevalence",-0.0008437300600212342
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Rate",-0.0008425890180928231
"Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline, Black, non-Hispanic, Crude Prevalence",-0.0008407861607442592
"Current poor mental health among high school students, Overall, Crude Prevalence",-0.0008382067843893138
"Binge drinking intensity among adults who binge drink, Asian, non-Hispanic, Crude 75th percentile",-0.0008375551786246676
"Influenza vaccination among adults 18–64 who are at increased risk, Multiracial, non-Hispanic, Age-adjusted Prevalence",-0.0008342111562347996
"Binge drinking prevalence among adults, Black, non-Hispanic, Crude Prevalence",-0.0008296481454459113
"Influenza vaccination among adults 18–64 who are at increased risk, Black, non-Hispanic, Age-adjusted Prevalence",-0.0008227060710813427
"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older, Asian or Pacific Islander, non-Hispanic, Crude Rate",-0.0008215713900240838
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Age 6-11, Crude Prevalence",-0.0008203278435232054
"Influenza vaccination among adults, White, non-Hispanic, Age-adjusted Prevalence",-0.000819436835714332
"Pneumococcal vaccination among adults aged 65 years and older, Black, non-Hispanic, Age-adjusted Prevalence",-0.0008180160583802555
"Diseases of the heart mortality among all people, underlying cause, Multiracial, non-Hispanic, Age-adjusted Rate",-0.0008177683796018454
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0008157104769201071
"Pneumococcal vaccination among adults aged 65 years and older, Female, Crude Prevalence",-0.0008115462915447289
"Influenza vaccination among adults, Age 45-64, Crude Prevalence",-0.0008110895716236958
"Provided care for someone with dementia or other cognitive impairment in the past month among adults, Asian, non-Hispanic, Age-adjusted Prevalence",-0.0008046443338513638
"No teeth lost among adults aged 18-64 years, Age 45-64, Crude Prevalence",-0.0007987573199626908
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Black, non-Hispanic, Age-adjusted Prevalence",-0.0007913275971478113
"Received health care provider counseling for physical activity among adults with arthritis, White, non-Hispanic, Crude Prevalence",-0.0007805384354599284
"Consumed vegetables less than one time daily among high school students, Asian, non-Hispanic, Crude Prevalence",-0.0007790078863901856
"Met aerobic physical activity guideline among high school students, Black, non-Hispanic, Crude Prevalence",-0.0007778745927824478
"Binge drinking frequency among adults who binge drink, Multiracial, non-Hispanic, Crude Median",-0.0007765947866103732
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Overall, Crude Prevalence",-0.0007677540727044822
"Received health care provider counseling for physical activity among adults with arthritis, Multiracial, non-Hispanic, Crude Prevalence",-0.0007676425656699125
"Average recent physically unhealthy days among adults, Hawaiian or Pacific Islander, non-Hispanic, Crude Mean",-0.0007605994135867039
"Gestational diabetes among women with a recent live birth, Black, non-Hispanic, Crude Prevalence",-0.0007605896086701805
"All teeth lost among adults aged 65 years and older, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0007558738238835589
"All teeth lost among adults aged 65 years and older, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Prevalence",-0.0007558738238835585
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Hispanic, Age-adjusted Prevalence",-0.0007551769392686582
"Binge drinking prevalence among high school students, Asian, non-Hispanic, Crude Prevalence",-0.0007536489250319473
"No teeth lost among adults aged 18-64 years, Overall, Crude Prevalence",-0.0007531901537322577
"No teeth lost among adults aged 18-64 years, Female, Crude Prevalence",-0.0007523517940078482
"Provided care for a friend or family member in the past month among adults, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Prevalence",-0.0007516754450846355
"Obesity among adults, American Indian or Alaska Native, non-Hispanic, Age-adjusted Prevalence",-0.0007449481408272339
"Cigarette smoking during pregnancy among women with a recent live birth, Asian, non-Hispanic, Crude Prevalence",-0.0007405397262480513
"Preventive dental care in the 12 months before pregnancy among women with a recent live birth, Multiracial, non-Hispanic, Crude Prevalence",-0.000739848123836446
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause, Hawaiian or Pacific Islander, non-Hispanic, Age-adjusted Rate",-0.000736694705430101
"Chronic liver disease mortality among all people, underlying cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0007344049346690927
"Chronic liver disease mortality among all people, underlying cause, Multiracial, non-Hispanic, Crude Rate",-0.0007321860935539814
"No teeth lost among adults aged 18-64 years, Female, Age-adjusted Prevalence",-0.0007266322773368879
"Chronic liver disease mortality among all people, underlying cause, Female, Age-adjusted Rate",-0.0007262627670068529
"No teeth lost among adults aged 18-64 years, Overall, Age-adjusted Prevalence",-0.000726098089133648
"Obesity among WIC children aged 2 to 4 years, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.0007240191461628485
"Binge drinking prevalence among high school students, Female, Crude Prevalence",-0.0007190387207349526
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, Hispanic, Age-adjusted Rate",-0.0007165268229284892
"No teeth lost among adults aged 18-64 years, Male, Crude Prevalence",-0.0007160429674274167
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Age 12-17, Crude Prevalence",-0.0007139988937143844
"Diabetic ketoacidosis mortality among all people, underlying or contributing cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0007109706303643517
"Diabetic ketoacidosis mortality among all people, underlying or contributing cause, American Indian or Alaska Native, non-Hispanic, Crude Rate",-0.0007091171342051995
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause, American Indian or Alaska Native, non-Hispanic, Age-adjusted Rate",-0.0007089470222719497
"No teeth lost among adults aged 18-64 years, White, non-Hispanic, Crude Prevalence",-0.0007061690493203317
"No teeth lost among adults aged 18-64 years, White, non-Hispanic, Age-adjusted Prevalence",-0.0007041165589613312
"Chronic liver disease mortality among all people, underlying cause, American Indian or Alaska Native, non-Hispanic, Crude Rate",-0.0007040807057907432
"Current poor mental health among high school students, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.0006972698036024893
"Asthma mortality among all people, underlying cause, Female, Crude Rate",-0.0006965390417442665
"Received health care provider counseling for physical activity among adults with arthritis, Multiracial, non-Hispanic, Age-adjusted Prevalence",-0.0006935291127015888
"Cerebrovascular disease (stroke) mortality among all people, underlying cause, American Indian or Alaska Native, non-Hispanic, Crude Rate",-0.0006863311587377203
"Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years, Hawaiian or Pacific Islander, non-Hispanic, Crude Prevalence",-0.0006835250527195752
"No teeth lost among adults aged 18-64 years, Male, Age-adjusted Prevalence",-0.0006826402258168901
"Received health care provider counseling for physical activity among adults with arthritis, Black, non-Hispanic, Crude Prevalence",-0.0006763513745547472
"Received health care provider counseling for physical activity among adults with arthritis, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.0006649296349686358
"Asthma mortality among all people, underlying cause, Black, non-Hispanic, Crude Rate",-0.0006647579600030714
"Chronic liver disease mortality among all people, underlying cause, Hispanic, Age-adjusted Rate",-0.0006582459328411633
"Obesity among adults, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.00065553252385735
"Binge drinking prevalence among adults, Multiracial, non-Hispanic, Age-adjusted Prevalence",-0.0006550745263209869
"Influenza vaccination among adults 18–64 who are at increased risk, Multiracial, non-Hispanic, Crude Prevalence",-0.0006520584150711414
"Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years, White, non-Hispanic, Crude Prevalence",-0.0006485738637767689
"High school completion among adults aged 18-24, Asian, non-Hispanic, Crude Prevalence",-0.0006469519616695948
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause, Asian, non-Hispanic, Age-adjusted Rate",-0.0006408231385631409
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Black, non-Hispanic, Crude Prevalence",-0.0006355675071589013
"Current cigarette smoking among adults, Asian, non-Hispanic, Crude Prevalence",-0.0006345471791803397
"Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline, Black, non-Hispanic, Age-adjusted Prevalence",-0.000633768673756969
"Received health care provider counseling for physical activity among adults with arthritis, Age >=65, Crude Prevalence",-0.0006325563390115554
"Chronic liver disease mortality among all people, underlying cause, Hispanic, Crude Rate",-0.0006306981668415997
"Binge drinking frequency among adults who binge drink, Multiracial, non-Hispanic, Crude 75th percentile",-0.0006251071103453108
"Binge drinking prevalence among adults, Multiracial, non-Hispanic, Crude Prevalence",-0.0006243346092078092
"Influenza vaccination among adults, American Indian or Alaska Native, non-Hispanic, Crude Prevalence",-0.0006172572717085223
"Influenza vaccination among adults, Hispanic, Age-adjusted Prevalence",-0.0006157006810084373
"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause, Asian, non-Hispanic, Crude Rate",-0.0006104096099934759
"No teeth lost among adults aged 18-64 years, Age 18-44, Crude Prevalence",-0.0006092677609132797
"Consumed fruit less than one time daily among adults, Asian, non-Hispanic, Crude Prevalence",-0.0006091412236115599
"Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years, Age 1-5, Crude Prevalence",-0.0006049351666539818
"Diseases of the heart mortality among all people, underlying cause, Hispanic, Age-adjusted Rate",-0.0006024322564428051
"Quit attempts in the past year among adult current smokers, White, non-Hispanic, Crude Prevalence",-0.0005952330681987359
"Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years, Multiracial, non-Hispanic, Crude Prevalence",-0.000592021429075409
